ancestry_seed,mutation_seed,max_local_size,threshold,inflection_point,slope,mig_rate,anc_sizes,merge_time,anc_merge_time,anc_merge_size,anc_mig_rate,mutation_rate,recombination_rate,demo_id,coal_rep,sim_time
58231611,522298572,1147,0.0942648,0.5,0.05,0.00020183314907512483,273423,23000,,,,8e-08,1e-09,demo_631319017,0,739.0438084602356
751439840,713123940,1361,0.0942648,0.5,0.05,0.00016026043024630482,165094,23000,,,,8e-08,1e-09,demo_544401866,0,810.2104983329773
112772858,631260867,1162,0.0942648,0.5,0.05,0.0006399722261944305,161633,23000,,,,8e-08,1e-09,demo_123845643,0,980.1063723564148
682214827,1041078033,1497,0.0942648,0.5,0.05,0.0005568663478958962,168771,23000,,,,8e-08,1e-09,demo_674975212,0,1162.7433607578278
718194055,290707716,586,0.0942648,0.5,0.05,0.0037457263044793783,223909,23000,,,,8e-08,1e-09,demo_745594284,0,1300.661254644394
994732366,806385996,1912,0.0942648,0.5,0.05,0.0005803544714735715,269022,23000,,,,8e-08,1e-09,demo_930368745,0,1456.5205895900726
63630580,262128516,1457,0.0942648,0.5,0.05,0.0029942405570987955,252990,23000,,,,8e-08,1e-09,demo_433264228,0,2841.562689304352
977146670,193869564,1197,0.0942648,0.5,0.05,0.004173742912018478,282379,23000,,,,8e-08,1e-09,demo_447303553,0,2869.9631373882294
699017130,878164908,1654,0.0942648,0.5,0.05,0.0032995141330848287,198721,23000,,,,8e-08,1e-09,demo_803870383,0,3489.3017823696136
228623408,234128778,1594,0.0942648,0.5,0.05,0.0036472627430662544,167718,23000,,,,8e-08,1e-09,demo_292913116,0,3504.5965530872345
979317406,801958588,682,0.0942648,0.5,0.05,0.0003700739638983255,297064,23000,,,,8e-08,1e-09,demo_853174709,0,594.2843225002289
586770587,641279882,951,0.0942648,0.5,0.05,0.0008228330927780978,183805,23000,,,,8e-08,1e-09,demo_103299784,0,894.0927815437317
85902857,581049954,506,0.0942648,0.5,0.05,0.004348980524221543,235282,23000,,,,8e-08,1e-09,demo_694282667,0,1208.1309974193573
1032775088,417195724,617,0.0942648,0.5,0.05,0.004022594571084053,195453,23000,,,,8e-08,1e-09,demo_355145653,0,1368.3100860118866
509028011,181222779,635,0.0942648,0.5,0.05,0.003930961888207252,214038,23000,,,,8e-08,1e-09,demo_532961526,0,1457.6260607242584
670649152,268279067,938,0.0942648,0.5,0.05,0.002448822614429713,186981,23000,,,,8e-08,1e-09,demo_835285776,0,1584.2883415222168
844084015,266259303,1952,0.0942648,0.5,0.05,0.000731622940587939,156958,23000,,,,8e-08,1e-09,demo_66569785,0,1721.598688364029
360472786,877956587,1041,0.0942648,0.5,0.05,0.003273880929045893,158230,23000,,,,8e-08,1e-09,demo_287324769,0,2080.4555654525757
24284828,428472593,1652,0.0942648,0.5,0.05,0.0027153087717545227,173635,23000,,,,8e-08,1e-09,demo_513984403,0,2847.2257328033447
29688382,597990996,1800,0.0942648,0.5,0.05,0.0027107968575009523,184576,23000,,,,8e-08,1e-09,demo_778004641,0,3087.420560836792
144684145,31628121,968,0.0942648,0.5,0.05,0.00048421512419224213,204196,23000,,,,8e-08,1e-09,demo_350143353,0,776.1384110450745
6716258,202901484,523,0.0942648,0.5,0.05,0.0017903172995603729,199567,23000,,,,8e-08,1e-09,demo_797592602,0,784.5736589431763
891279005,169986274,877,0.0942648,0.5,0.05,0.0016370483606309993,278564,23000,,,,8e-08,1e-09,demo_294425781,0,1129.8102476596832
1062458722,865730879,919,0.0942648,0.5,0.05,0.004267112819261654,235672,23000,,,,8e-08,1e-09,demo_367282011,0,2144.529230117798
133766104,518702679,1062,0.0942648,0.5,0.05,0.003296044262056441,237628,23000,,,,8e-08,1e-09,demo_328344811,0,2178.2781615257263
584570895,703460264,1968,0.0942648,0.5,0.05,0.0013273159331357897,186542,23000,,,,8e-08,1e-09,demo_443580924,0,2450.3474626541138
21063842,291868746,1633,0.0942648,0.5,0.05,0.0019659364631018465,266538,23000,,,,8e-08,1e-09,demo_820126662,0,2556.4732949733734
68509662,355877186,1158,0.0942648,0.5,0.05,0.0035440953903323213,288885,23000,,,,8e-08,1e-09,demo_516981097,0,2612.9627306461334
197701253,943538621,1850,0.0942648,0.5,0.05,0.0031721626981114377,201358,23000,,,,8e-08,1e-09,demo_700437419,0,3842.4777076244354
694139524,884614205,1679,0.0942648,0.5,0.05,0.004758119499377208,245004,23000,,,,8e-08,1e-09,demo_526192517,0,4587.088425397873
246660661,19335963,532,0.0942648,0.5,0.05,0.0027935290853979833,226788,23000,,,,8e-08,1e-09,demo_247795311,0,941.1127293109894
1007947564,870352682,606,0.0942648,0.5,0.05,0.002727551734877337,230966,23000,,,,8e-08,1e-09,demo_282524994,0,1077.9961624145508
900762884,665106209,912,0.0942648,0.5,0.05,0.0013909854745973063,222912,23000,,,,8e-08,1e-09,demo_418018161,0,1099.7078881263733
366622949,896879710,552,0.0942648,0.5,0.05,0.004911932588342017,177396,23000,,,,8e-08,1e-09,demo_643365823,0,1494.8140592575073
165613147,120378289,634,0.0942648,0.5,0.05,0.004242448318797912,150103,23000,,,,8e-08,1e-09,demo_760730272,0,1531.6968717575073
167727814,925410201,1201,0.0942648,0.5,0.05,0.002751137026425164,295653,23000,,,,8e-08,1e-09,demo_147154273,0,2148.229073047638
705924520,238620825,1388,0.0942648,0.5,0.05,0.0028308142611075046,238111,23000,,,,8e-08,1e-09,demo_655612313,0,2530.377694606781
846349773,531323741,1158,0.0942648,0.5,0.05,0.003985905123288319,282399,23000,,,,8e-08,1e-09,demo_651253544,0,2666.251506090164
35972319,972304179,1347,0.0942648,0.5,0.05,0.003692838990114916,277189,23000,,,,8e-08,1e-09,demo_953501991,0,2900.7986471652985
216192222,870087864,1407,0.0942648,0.5,0.05,0.004678582276431028,229793,23000,,,,8e-08,1e-09,demo_301586479,0,3656.610307455063
680274548,601138929,1016,0.0942648,0.5,0.05,0.00014095215722381024,158540,23000,,,,8e-08,1e-09,demo_922864686,0,669.643116235733
947704213,707518337,916,0.0942648,0.5,0.05,0.0004606748634005314,269220,23000,,,,8e-08,1e-09,demo_548862679,0,755.4125907421112
16199645,888070007,521,0.0942648,0.5,0.05,0.0019770360364920526,283634,23000,,,,8e-08,1e-09,demo_349993405,0,818.629546880722
1033515009,486023033,706,0.0942648,0.5,0.05,0.0011830505931933457,267786,23000,,,,8e-08,1e-09,demo_546824962,0,859.068733215332
848231657,452523100,536,0.0942648,0.5,0.05,0.001956785744652497,198897,23000,,,,8e-08,1e-09,demo_860851630,0,870.5732729434967
480095484,893640647,692,0.0942648,0.5,0.05,0.0027810229344327783,264557,23000,,,,8e-08,1e-09,demo_504150036,0,1316.5647718906403
73883106,320841273,967,0.0942648,0.5,0.05,0.0031994223334414146,188568,23000,,,,8e-08,1e-09,demo_1008404258,0,2235.3029844760895
721927427,486432444,1613,0.0942648,0.5,0.05,0.0018340407942089255,252164,23000,,,,8e-08,1e-09,demo_962435956,0,3130.814010620117
690412286,907514953,1081,0.0942648,0.5,0.05,0.0048448654877131046,250216,23000,,,,8e-08,1e-09,demo_100503023,0,3771.7085194587708
169915720,1058821465,1807,0.0942648,0.5,0.05,0.0037273120089620685,245585,23000,,,,8e-08,1e-09,demo_84427647,0,5200.216049194336
