ancestry_seed,mutation_seed,max_local_size,threshold,inflection_point,slope,mig_rate,anc_sizes,merge_time,anc_merge_time,anc_merge_size,anc_mig_rate,mutation_rate,recombination_rate,demo_id,coal_rep,sim_time
927455299,680899997,775.0,,0.5,0.05,0.001965965956330001,756056.0,23000,,,,8e-08,1e-09,demo_338341664,0,120.03068494796753
927455299,680899997,830.0,,0.5,0.05,0.0010645953866485613,1044554.0,23000,,,,8e-08,1e-09,demo_338341664,0,128.55321645736694
927455299,680899997,771.0,,0.5,0.05,0.0016289202043294957,1096609.0,23000,,,,8e-08,1e-09,demo_338341664,0,136.20984363555908
927455299,680899997,1338.0,,0.5,0.05,0.002077351531705825,806592.0,23000,,,,8e-08,1e-09,demo_338341664,0,152.48216462135315
927455299,680899997,739.0,,0.5,0.05,0.003447440678684155,923846.0,23000,,,,8e-08,1e-09,demo_338341664,0,163.05315971374512
927455299,680899997,1287.0,,0.5,0.05,0.0025789476153072217,715798.0,23000,,,,8e-08,1e-09,demo_338341664,0,171.23767042160034
927455299,680899997,1517.0,,0.5,0.05,0.0018879052294028154,1081209.0,23000,,,,8e-08,1e-09,demo_338341664,0,173.1330726146698
927455299,680899997,725.0,,0.5,0.05,0.0034058014152781014,1124113.0,23000,,,,8e-08,1e-09,demo_338341664,0,179.0941867828369
927455299,680899997,1949.0,,0.5,0.05,0.002745774779638358,817618.0,23000,,,,8e-08,1e-09,demo_338341664,0,221.39581060409546
927455299,680899997,1957.0,,0.5,0.05,0.002284980621227429,1122504.0,23000,,,,8e-08,1e-09,demo_338341664,0,229.17315673828125
927455299,680899997,1870.0,,0.5,0.05,0.002880737645927997,1055070.0,23000,,,,8e-08,1e-09,demo_338341664,0,253.32819771766663
927455299,680899997,1230.0,,0.5,0.05,0.0037728310447009894,1110942.0,23000,,,,8e-08,1e-09,demo_338341664,0,258.06684160232544
436889684,319350248,1635.0,,0.5,0.05,0.0006714553478446548,1003078.0,23000,,,,8e-08,1e-09,demo_618183428,0,125.42512822151184
818220803,882732378,1209.0,,0.5,0.05,0.00045655567947175423,798448.0,23000,,,,8e-08,1e-09,demo_752030832,0,90.33630895614624
241662295,405137665,690.0,,0.5,0.05,0.001999493714822242,1077886.0,23000,,,,8e-08,1e-09,demo_366632305,0,148.15715622901917
20539396,270949246,1277.0,,0.5,0.05,0.00041769994319260903,780331.0,23000,,,,8e-08,1e-09,demo_919782208,0,97.16609311103821
927455299,680899997,1654.0,,0.5,0.05,0.004832363880090721,1125966.0,23000,,,,8e-08,1e-09,demo_338341664,0,351.69360065460205
301177481,382010,1454.0,,0.5,0.05,0.0013323087750979532,1039642.0,23000,,,,8e-08,1e-09,demo_445360850,0,156.24388527870178
927455299,680899997,1704.0,,0.5,0.05,0.0028299867742870052,1145692.0,23000,,,,8e-08,1e-09,demo_338341664,0,365.1659982204437
927455299,680899997,1973.0,,0.5,0.05,0.00440901255734491,1132355.0,23000,,,,8e-08,1e-09,demo_338341664,0,383.86831617355347
881442153,623254152,1036.0,,0.5,0.05,0.0014214410988013003,1177132.0,23000,,,,8e-08,1e-09,demo_487129377,0,156.58162713050842
512453534,548123912,1569.0,,0.5,0.05,0.0002128740392276239,986794.0,23000,,,,8e-08,1e-09,demo_405277816,0,100.387868642807
677188975,221028175,827.0,,0.5,0.05,0.0010623656257559328,1121458.0,23000,,,,8e-08,1e-09,demo_901980324,0,120.72371101379395
943523432,174746481,1587.0,,0.5,0.05,0.0032762645993376846,942100.0,23000,,,,8e-08,1e-09,demo_106620477,0,249.48489570617676
862864370,740717954,1622.0,,0.5,0.05,0.003444516606972616,1140468.0,23000,,,,8e-08,1e-09,demo_331725385,0,273.9604117870331
281942245,329154877,1393.0,,0.5,0.05,0.0014191123545245906,1035147.0,23000,,,,8e-08,1e-09,demo_98571895,0,154.6381757259369
652487476,449564005,1171.0,,0.5,0.05,0.004203505528974239,953762.0,23000,,,,8e-08,1e-09,demo_570099446,0,250.04729962348938
577797017,439506750,805.0,,0.5,0.05,0.0007713903060639876,975110.0,23000,,,,8e-08,1e-09,demo_460362297,0,113.53258466720581
937557986,677406269,1466.0,,0.5,0.05,0.0019106982879522354,1107433.0,23000,,,,8e-08,1e-09,demo_909124677,0,194.30182242393494
629408555,865546316,533.0,,0.5,0.05,0.0001800343007863592,817214.0,23000,,,,8e-08,1e-09,demo_670642639,0,87.50910949707031
479588881,27860737,1891.0,,0.5,0.05,0.0019966183682106836,1059673.0,23000,,,,8e-08,1e-09,demo_803061769,0,209.78704619407654
795606144,945329205,1701.0,,0.5,0.05,0.0016762836264637435,1144340.0,23000,,,,8e-08,1e-09,demo_454589070,0,200.6821208000183
1011158552,288008482,823.0,,0.5,0.05,0.002719613119445561,1020690.0,23000,,,,8e-08,1e-09,demo_596292782,0,168.15319156646729
888301578,487320437,1707.0,,0.5,0.05,0.00497175978472387,1010075.0,23000,,,,8e-08,1e-09,demo_862921930,0,365.0056917667389
815425550,639260385,1244.0,,0.5,0.05,0.0035072740619897735,1132912.0,23000,,,,8e-08,1e-09,demo_970965018,0,238.00417971611023
381723573,845292244,1884.0,,0.5,0.05,0.0030310655327164576,956664.0,23000,,,,8e-08,1e-09,demo_315007218,0,262.319233417511
419663360,704057030,1214.0,,0.5,0.05,0.0010150358505574295,773437.0,23000,,,,8e-08,1e-09,demo_1034630666,0,107.49485230445862
1050568504,966624329,1587.0,,0.5,0.05,0.00294557305118868,774155.0,23000,,,,8e-08,1e-09,demo_263931958,0,202.2186634540558
219463856,134052355,1434.0,,0.5,0.05,0.004101851094090526,1032162.0,23000,,,,8e-08,1e-09,demo_825171602,0,271.71340250968933
453557495,274015388,930.0,,0.5,0.05,0.00036580604484086836,994873.0,23000,,,,8e-08,1e-09,demo_1049834035,0,142.37234926223755
619761265,837441200,1595.0,,0.5,0.05,0.00203279171992155,1153495.0,23000,,,,8e-08,1e-09,demo_18771399,0,204.62905144691467
205849609,72795209,610.0,,0.5,0.05,0.0048381642457602575,1196688.0,23000,,,,8e-08,1e-09,demo_568469309,0,211.75698351860046
500589148,776598350,1769.0,,0.5,0.05,0.004129506739860086,883643.0,23000,,,,8e-08,1e-09,demo_736528374,0,289.1906807422638
180986021,251989,1506.0,,0.5,0.05,0.0007773514745717158,757729.0,23000,,,,8e-08,1e-09,demo_95605088,0,105.90990924835205
51140951,757987500,543.0,,0.5,0.05,0.004922874380113316,1043363.0,23000,,,,8e-08,1e-09,demo_370564713,0,230.60910201072693
444045522,20897171,988.0,,0.5,0.05,0.0009843897572014075,1114486.0,23000,,,,8e-08,1e-09,demo_855139313,0,172.87856030464172
689329824,1020203308,1857.0,,0.5,0.05,0.0015870873538187627,737572.0,23000,,,,8e-08,1e-09,demo_585293555,0,185.11032700538635
790612329,271021566,1657.0,,0.5,0.05,0.0026306206670898714,1062547.0,23000,,,,8e-08,1e-09,demo_1008889440,0,264.0562334060669
12982606,533805472,1023.0,,0.5,0.05,0.004906085849416244,1117591.0,23000,,,,8e-08,1e-09,demo_557278522,0,270.68126487731934
585990469,681782861,1738.0,,0.5,0.05,0.0016526305527764637,910455.0,23000,,,,8e-08,1e-09,demo_237277462,0,203.78229355812073
78219917,160594070,1549.0,,0.5,0.05,0.0025424851791910905,920433.0,23000,,,,8e-08,1e-09,demo_1037782266,0,183.50064182281494
975599882,19698586,1283.0,,0.5,0.05,0.00451840225198873,1040240.0,23000,,,,8e-08,1e-09,demo_1055683135,0,320.22729563713074
224796871,742644846,1919.0,,0.5,0.05,0.0011723234553197048,936080.0,23000,,,,8e-08,1e-09,demo_918785504,0,183.96336317062378
48083072,862794740,857.0,,0.5,0.05,0.004549867672316902,1081366.0,23000,,,,8e-08,1e-09,demo_579315639,0,256.4452075958252
477970811,204601606,902.0,,0.5,0.05,0.00021940860980055406,999150.0,23000,,,,8e-08,1e-09,demo_830554496,0,142.08757996559143
201890029,389999512,515.0,,0.5,0.05,0.004499343143547821,729635.0,23000,,,,8e-08,1e-09,demo_726256715,0,170.06835770606995
572153316,724652280,1562.0,,0.5,0.05,0.001470311866957318,984881.0,23000,,,,8e-08,1e-09,demo_288643518,0,190.4980502128601
99143003,719310697,1458.0,,0.5,0.05,0.004864830792194913,811917.0,23000,,,,8e-08,1e-09,demo_1009213571,0,315.8311936855316
38515225,755669690,1167.0,,0.5,0.05,0.0033249122966260837,811164.0,23000,,,,8e-08,1e-09,demo_317877563,0,223.52033925056458
231793433,588480007,1371.0,,0.5,0.05,0.0014101268865309804,830526.0,23000,,,,8e-08,1e-09,demo_717631821,0,182.5171356201172
260239938,874729657,551.0,,0.5,0.05,0.00462516935465047,781264.0,23000,,,,8e-08,1e-09,demo_594097503,0,205.61272144317627
765573572,423210971,635.0,,0.5,0.05,0.0006137581795242212,1089587.0,23000,,,,8e-08,1e-09,demo_600034671,0,152.7286033630371
414729626,443636209,832.0,,0.5,0.05,0.0009038078234088919,1174196.0,23000,,,,8e-08,1e-09,demo_677766369,0,167.02639079093933
1044100462,810433787,1104.0,,0.5,0.05,0.004295710139997026,920550.0,23000,,,,8e-08,1e-09,demo_271985206,0,287.5521972179413
846290578,1049502534,1215.0,,0.5,0.05,0.0023530062124676675,1070781.0,23000,,,,8e-08,1e-09,demo_149302441,0,237.40549230575562
1041733075,29076222,1843.0,,0.5,0.05,0.0018022576705357986,1179688.0,23000,,,,8e-08,1e-09,demo_913808662,0,245.4149613380432
103698814,318159689,1212.0,,0.5,0.05,0.002962730611156652,956138.0,23000,,,,8e-08,1e-09,demo_308855212,0,260.99499917030334
602641034,443087525,959.0,,0.5,0.05,0.004468274178351131,830254.0,23000,,,,8e-08,1e-09,demo_908774965,0,249.05740094184875
617242928,332222469,1363.0,,0.5,0.05,0.00280757342325426,1130218.0,23000,,,,8e-08,1e-09,demo_786144504,0,258.1249716281891
231589604,187945024,801.0,,0.5,0.05,0.0002153050525386719,866743.0,23000,,,,8e-08,1e-09,demo_394720386,0,146.52546048164368
501958578,971991432,1634.0,,0.5,0.05,0.0045099183286849325,717186.0,23000,,,,8e-08,1e-09,demo_252073937,0,354.09478092193604
93020578,704486696,1031.0,,0.5,0.05,0.003046740290782023,1045861.0,23000,,,,8e-08,1e-09,demo_1034950007,0,238.45936846733093
424318954,650913061,1574.0,,0.5,0.05,0.002587151961911549,1103591.0,23000,,,,8e-08,1e-09,demo_917332232,0,275.1747968196869
526915038,998878276,1129.0,,0.5,0.05,0.002779533498881859,814968.0,23000,,,,8e-08,1e-09,demo_157426930,0,194.4387445449829
736230883,1067432361,655.0,,0.5,0.05,0.002759091088590202,1154734.0,23000,,,,8e-08,1e-09,demo_835846409,0,227.76589250564575
212621620,747405331,1562.0,,0.5,0.05,0.0020678730407621684,1144052.0,23000,,,,8e-08,1e-09,demo_59906989,0,228.13780903816223
795942749,587995447,1479.0,,0.5,0.05,0.00431630993968718,934246.0,23000,,,,8e-08,1e-09,demo_664941490,0,321.35021686553955
272237071,886758389,522.0,,0.5,0.05,0.00014880559302006468,1087323.0,23000,,,,8e-08,1e-09,demo_228264480,0,168.72706151008606
220806355,284387812,1272.0,,0.5,0.05,0.0015119088096887281,1027601.0,23000,,,,8e-08,1e-09,demo_955076098,0,198.44953036308289
430472376,199843430,1885.0,,0.5,0.05,0.004960131589203193,828390.0,23000,,,,8e-08,1e-09,demo_108027064,0,417.3548550605774
1022939500,41477013,1412.0,,0.5,0.05,0.0018379228149849444,905040.0,23000,,,,8e-08,1e-09,demo_577614208,0,197.04301142692566
430787950,1027082365,1910.0,,0.5,0.05,0.0021459824059143094,1111957.0,23000,,,,8e-08,1e-09,demo_896024261,0,272.085825920105
109744701,77700989,919.0,,0.5,0.05,0.0015303277903508435,941947.0,23000,,,,8e-08,1e-09,demo_850545402,0,194.6749894618988
755475129,115793476,1351.0,,0.5,0.05,0.0006441346083507481,858719.0,23000,,,,8e-08,1e-09,demo_185496896,0,129.6348524093628
83889055,309004238,987.0,,0.5,0.05,0.0035832055261739485,771985.0,23000,,,,8e-08,1e-09,demo_641015807,0,231.1588695049286
241146135,497787886,875.0,,0.5,0.05,0.0025848106202869927,1115783.0,23000,,,,8e-08,1e-09,demo_494644611,0,217.05048942565918
898022736,602679349,834.0,,0.5,0.05,0.003913899310414835,947499.0,23000,,,,8e-08,1e-09,demo_124820024,0,251.73566126823425
970310589,350140005,823.0,,0.5,0.05,0.0038305679310560617,1011652.0,23000,,,,8e-08,1e-09,demo_917640269,0,250.00260996818542
505401212,404061016,665.0,,0.5,0.05,0.0034226659280833915,726366.0,23000,,,,8e-08,1e-09,demo_590714083,0,151.62268018722534
802484802,88210633,1062.0,,0.5,0.05,0.00369185152002057,1072398.0,23000,,,,8e-08,1e-09,demo_886479542,0,273.0738527774811
891309120,284781067,769.0,,0.5,0.05,0.00296727686945373,852155.0,23000,,,,8e-08,1e-09,demo_158828039,0,206.42764449119568
846777946,1068593764,856.0,,0.5,0.05,0.003704355804149896,788675.0,23000,,,,8e-08,1e-09,demo_681913686,0,217.3654124736786
154882279,812133090,1036.0,,0.5,0.05,0.004905350601684751,1191526.0,23000,,,,8e-08,1e-09,demo_892024184,0,335.2832453250885
792696093,617232513,1507.0,,0.5,0.05,0.003095988549631594,1108979.0,23000,,,,8e-08,1e-09,demo_569058501,0,265.1220898628235
504697903,15515831,1154.0,,0.5,0.05,0.003196163302147904,1093435.0,23000,,,,8e-08,1e-09,demo_884290217,0,220.29553866386414
40953726,678023797,1281.0,,0.5,0.05,0.0024417886623578702,1153385.0,23000,,,,8e-08,1e-09,demo_411954185,0,198.81196975708008
719599395,443810751,1122.0,,0.5,0.05,0.0034520304028011406,952672.0,23000,,,,8e-08,1e-09,demo_780998247,0,216.52558517456055
968818133,633233412,905.0,,0.5,0.05,0.004645676175142675,1176692.0,23000,,,,8e-08,1e-09,demo_774719780,0,281.8017854690552
292418024,784727620,1117.0,,0.5,0.05,0.0022830764231835453,1087040.0,23000,,,,8e-08,1e-09,demo_667252980,0,152.60066604614258
319595456,613486800,1961.0,,0.5,0.05,0.004339805570854519,766216.0,23000,,,,8e-08,1e-09,demo_214977270,0,285.2790536880493
