ancestry_seed,mutation_seed,max_local_size,threshold,inflection_point,slope,mig_rate,anc_sizes,merge_time,anc_merge_time,anc_merge_size,anc_mig_rate,mutation_rate,recombination_rate,demo_id,coal_rep,sim_time
1006992724,942698475,875,0.0942648,0.5,0.05,0.0012323945060523822,"[223152, 156725]",23000,646375,951350,7.715616242865603e-07,8e-08,1e-09,demo_995489557,0,1641.2779047489166
437440944,697032470,1923,0.0942648,0.5,0.05,0.00011032781638048634,"[244818, 214954]",23000,464918,982316,8.480708310193773e-07,8e-08,1e-09,demo_423918424,0,1772.825835466385
722282185,606389084,655,0.0942648,0.5,0.05,0.0026152562161808235,"[231167, 213864]",23000,577946,1153190,8.925426959211488e-07,8e-08,1e-09,demo_710352020,0,1902.276489019394
185423644,521821131,1419,0.0942648,0.5,0.05,0.0007022570502951921,"[253010, 256051]",23000,690092,1180624,9.619384951917497e-07,8e-08,1e-09,demo_148006520,0,2064.6236991882324
171037521,875691096,590,0.0942648,0.5,0.05,0.004020848854967171,"[175130, 269283]",23000,771965,999577,9.438212431444271e-07,8e-08,1e-09,demo_671724012,0,2214.7933309078217
506548476,991543493,1739,0.0942648,0.5,0.05,0.0006156310211226027,"[231699, 159570]",23000,643287,1097994,7.48651869406695e-07,8e-08,1e-09,demo_77227477,0,2364.5664114952087
672994405,996559146,734,0.0942648,0.5,0.05,0.004075220756819543,"[237988, 249709]",23000,570590,1089407,7.887910259029595e-07,8e-08,1e-09,demo_641591695,0,2622.6632850170135
539438912,795841921,1320,0.0942648,0.5,0.05,0.0027072357733269508,"[275476, 230950]",23000,590581,1046478,7.183692252802553e-07,8e-08,1e-09,demo_850750267,0,3545.021935224533
213312832,421121184,1395,0.0942648,0.5,0.05,0.004391392527127043,"[213520, 230977]",23000,478090,981894,8.841551410205915e-07,8e-08,1e-09,demo_1020237739,0,4640.671175479889
372867180,915926628,1764,0.0942648,0.5,0.05,0.0032818165936875066,"[244746, 293902]",23000,603627,1041408,9.80758803216524e-07,8e-08,1e-09,demo_25255639,0,4702.579003810883
983707814,823289977,548,0.0942648,0.5,0.05,0.00011417136714952313,"[294206, 275262]",23000,665756,1070419,9.206439449784688e-07,8e-08,1e-09,demo_787387840,0,946.2279317378998
571218235,773009194,522,0.0942648,0.5,0.05,0.0019140767611898395,"[264952, 262332]",23000,702457,829481,8.614195117067366e-07,8e-08,1e-09,demo_893719947,0,1330.267366886139
1005967960,640572985,1369,0.0942648,0.5,0.05,0.0001585779070282402,"[155420, 250191]",23000,549999,1028451,7.748653695736165e-07,8e-08,1e-09,demo_528187801,0,1417.8359725475311
259291355,207656226,1346,0.0942648,0.5,0.05,0.0003878432023702403,"[184934, 231886]",23000,749335,992833,9.239157751941395e-07,8e-08,1e-09,demo_342577023,0,1662.460517168045
468761859,786408464,582,0.0942648,0.5,0.05,0.004002697447022756,"[235581, 272815]",23000,564781,850227,9.015589331226617e-07,8e-08,1e-09,demo_326868515,0,2432.0185117721558
1032536233,539450753,734,0.0942648,0.5,0.05,0.002839156172851177,"[215855, 256588]",23000,742256,1148172,8.846271044703202e-07,8e-08,1e-09,demo_811073443,0,2572.8450257778168
579545675,182998452,1468,0.0942648,0.5,0.05,0.001756658247014886,"[158280, 230771]",23000,405545,835236,7.787415300096756e-07,8e-08,1e-09,demo_628811051,0,5593.896868228912
153840629,462250017,1551,0.0942648,0.5,0.05,0.0016774194833668527,"[154067, 233746]",23000,671848,924240,8.887237737873521e-07,8e-08,1e-09,demo_749327170,0,5816.340210199356
189523140,841562810,1443,0.0942648,0.5,0.05,0.0024417794778950966,"[267280, 238496]",23000,630091,1164458,9.544694187816161e-07,8e-08,1e-09,demo_1036282786,0,7972.987657546997
669233099,329860400,1659,0.0942648,0.5,0.05,0.0032403276502910986,"[243833, 225426]",23000,627165,1001478,7.872494978283302e-07,8e-08,1e-09,demo_855140322,0,11276.287516355515
