ancestry_seed,mutation_seed,max_local_size,threshold,inflection_point,slope,mig_rate,anc_sizes,merge_time,anc_merge_time,anc_merge_size,anc_mig_rate,mutation_rate,recombination_rate,demo_id,coal_rep,sim_time
397812414,657723355,524,0.0942648,0.5,0.05,0.0009733655182448036,"[282645, 160731]",23000,495351,1096164,7.111351024497765e-07,8e-08,1e-09,demo_795095164,0,1246.2820916175842
1072769960,552021218,539,0.0942648,0.5,0.05,0.0030326951764843057,"[255529, 206322]",23000,573015,993188,8.486695332085544e-07,8e-08,1e-09,demo_240258784,0,1764.481008529663
1018327715,1048781797,1231,0.0942648,0.5,0.05,0.0008571347597638277,"[222182, 280559]",23000,452023,795918,8.426475694747787e-07,8e-08,1e-09,demo_526376295,0,1833.1237914562225
251155969,273360415,700,0.0942648,0.5,0.05,0.00450781273910161,"[227523, 231270]",23000,547331,893685,8.526584257388863e-07,8e-08,1e-09,demo_103812561,0,2407.5437874794006
179727433,558220,1635,0.0942648,0.5,0.05,0.0013729410967420748,"[210940, 221180]",23000,608322,956063,9.120665332520852e-07,8e-08,1e-09,demo_680913577,0,2553.639547586441
219403126,964047544,1426,0.0942648,0.5,0.05,0.002860017714337901,"[241144, 272200]",23000,514497,1081068,9.008719181091584e-07,8e-08,1e-09,demo_154285563,0,2966.7740457057953
169735758,422770927,1411,0.0942648,0.5,0.05,0.004110609507381793,"[233746, 172418]",23000,617777,867823,8.080524222508613e-07,8e-08,1e-09,demo_984322918,0,3348.87348651886
998765946,344229911,1535,0.0942648,0.5,0.05,0.004125978709704185,"[161912, 187830]",23000,415316,874929,8.673988574952986e-07,8e-08,1e-09,demo_718232371,0,3512.63951587677
512986445,830859227,1516,0.0942648,0.5,0.05,0.004692511717552892,"[190866, 283269]",23000,491953,1143882,9.112857954446354e-07,8e-08,1e-09,demo_988290885,0,3714.4190862178802
595441495,246234306,1950,0.0942648,0.5,0.05,0.004293461853448085,"[224754, 170344]",23000,639411,1089412,8.672016353662579e-07,8e-08,1e-09,demo_561875342,0,4095.9425070285797
324250216,909950862,1254,0.0942648,0.5,0.05,0.0005343653010286514,"[252903, 278225]",23000,605836,990374,7.341347833736668e-07,8e-08,1e-09,demo_451747134,0,1676.012526512146
627148940,512473201,513,0.0942648,0.5,0.05,0.0029160004866595262,"[188884, 219342]",23000,632940,993397,7.966217070185978e-07,8e-08,1e-09,demo_758564097,0,1785.580892086029
730882269,921075158,1057,0.0942648,0.5,0.05,0.0011022029625212544,"[207453, 185541]",23000,451442,785656,8.517960325652965e-07,8e-08,1e-09,demo_68307650,0,1852.3038585186005
66843752,76361254,626,0.0942648,0.5,0.05,0.0033408589521104724,"[299409, 252803]",23000,666106,839604,7.632514925129593e-07,8e-08,1e-09,demo_180724697,0,2172.088485956192
1015448449,1031511980,997,0.0942648,0.5,0.05,0.0017672620972041294,"[217170, 244866]",23000,699186,886788,8.985461054037748e-07,8e-08,1e-09,demo_990740168,0,2323.683022737503
455717478,190040046,1311,0.0942648,0.5,0.05,0.0016886195285767296,"[212570, 157293]",23000,455428,860631,8.806161084300793e-07,8e-08,1e-09,demo_514489043,0,3023.016752243042
758433243,806440438,1034,0.0942648,0.5,0.05,0.003008936580015709,"[171611, 277386]",23000,659646,1039668,9.728772144708736e-07,8e-08,1e-09,demo_341603710,0,3434.9214251041412
846746094,486144368,1417,0.0942648,0.5,0.05,0.0018292687794718167,"[235775, 164937]",23000,723626,895019,8.245135746081059e-07,8e-08,1e-09,demo_414939469,0,3548.955872774124
609465335,474310707,880,0.0942648,0.5,0.05,0.004234740432663715,"[215738, 189421]",23000,454739,847866,8.329165882278124e-07,8e-08,1e-09,demo_346176010,0,3874.2847838401794
871721098,86325248,1672,0.0942648,0.5,0.05,0.0023195765520023152,"[288285, 250524]",23000,590528,1067871,7.458015315895486e-07,8e-08,1e-09,demo_694161463,0,5192.904557228088
