ancestry_seed,mutation_seed,max_local_size,threshold,inflection_point,slope,mig_rate,anc_sizes,merge_time,anc_merge_time,anc_merge_size,anc_mig_rate,mutation_rate,recombination_rate,demo_id,coal_rep,sim_time
151857777,271622177,632.0,0.0942648,0.5,0.05,0.00029352047086674064,"[268207.0, 181456.0]",23000,[571338.0],[883884.0],8.487416180745074e-07,8e-08,1e-09,demo_352179618,0,142.1707844734192
151857777,271622177,727.0,0.0942648,0.5,0.05,0.0011238703150877247,"[270085.0, 240543.0]",23000,[662781.0],[838644.0],7.977157159427184e-07,8e-08,1e-09,demo_352179618,0,153.68677973747253
151857777,271622177,1317.0,0.0942648,0.5,0.05,0.00121473533075651,"[227151.0, 287859.0]",23000,[734139.0],[749292.0],8.519431274515733e-07,8e-08,1e-09,demo_352179618,0,177.4082407951355
151857777,271622177,1574.0,0.0942648,0.5,0.05,0.0013101504840323565,"[184319.0, 270508.0]",23000,[579259.0],[708477.0],7.789474305688821e-07,8e-08,1e-09,demo_352179618,0,181.42411518096924
151857777,271622177,610.0,0.0942648,0.5,0.05,0.003913953403788312,"[184990.0, 166252.0]",23000,[548857.0],[733410.0],7.926832973738883e-07,8e-08,1e-09,demo_352179618,0,217.08119320869446
151857777,271622177,1849.0,0.0942648,0.5,0.05,0.001586290675250045,"[230917.0, 252332.0]",23000,[690617.0],[879490.0],9.643781396990527e-07,8e-08,1e-09,demo_352179618,0,248.65577125549316
151857777,271622177,1682.0,0.0942648,0.5,0.05,0.0017384429133805379,"[252939.0, 181465.0]",23000,[742821.0],[1141634.0],7.831932176745891e-07,8e-08,1e-09,demo_352179618,0,264.1840579509735
151857777,271622177,1464.0,0.0942648,0.5,0.05,0.0019234122944326788,"[196414.0, 245759.0]",23000,[621207.0],[1183895.0],7.48572860646517e-07,8e-08,1e-09,demo_352179618,0,258.2156584262848
151857777,271622177,1043.0,0.0942648,0.5,0.05,0.0038432539584003405,"[274932.0, 279157.0]",23000,[574065.0],[1159309.0],8.555915472976939e-07,8e-08,1e-09,demo_352179618,0,313.3943831920624
151857777,271622177,1041.0,0.0942648,0.5,0.05,0.004833646235697591,"[235072.0, 266070.0]",23000,[708135.0],[1048821.0],9.563859511439183e-07,8e-08,1e-09,demo_352179618,0,342.62599658966064
