ancestry_seed,mutation_seed,max_local_size,threshold,inflection_point,slope,mig_rate,anc_sizes,merge_time,anc_merge_time,anc_merge_size,anc_mig_rate,mutation_rate,recombination_rate,demo_id,coal_rep,sim_time
534539848,119337664,926.0,0.0942648,0.5,0.05,0.004527168442467294,"[160666.0, 188211.0]",23000,[719144.0],[847769.0],7.953785951857681e-07,8e-08,1e-09,demo_295259144,0,798.2984795570374
534539848,119337664,1869.0,0.0942648,0.5,0.05,0.00014871751958796424,"[295470.0, 216376.0]",23000,[745059.0],[1092109.0],8.12987290751582e-07,8e-08,1e-09,demo_295259144,0,792.7152690887451
534539848,119337664,1533.0,0.0942648,0.5,0.05,0.0009798360966091497,"[150368.0, 196961.0]",23000,[434928.0],[1115259.0],8.891314397736361e-07,8e-08,1e-09,demo_295259144,0,818.0292780399323
534539848,119337664,1732.0,0.0942648,0.5,0.05,0.0008877854436457474,"[271764.0, 244844.0]",23000,[550667.0],[1140837.0],7.02356434825535e-07,8e-08,1e-09,demo_295259144,0,830.1724464893341
534539848,119337664,1848.0,0.0942648,0.5,0.05,0.0008459701424582928,"[170994.0, 169197.0]",23000,[587114.0],[1153743.0],9.78709432111173e-07,8e-08,1e-09,demo_295259144,0,815.603598356247
534539848,119337664,1408.0,0.0942648,0.5,0.05,0.004071176922753703,"[194294.0, 150113.0]",23000,[689161.0],[962111.0],7.766746486396958e-07,8e-08,1e-09,demo_295259144,0,838.5410916805267
534539848,119337664,1223.0,0.0942648,0.5,0.05,0.0005389623131416031,"[243907.0, 290710.0]",23000,[587437.0],[829680.0],8.440670281119425e-07,8e-08,1e-09,demo_295259144,0,825.5783553123474
534539848,119337664,1188.0,0.0942648,0.5,0.05,0.004564659296106918,"[242112.0, 278547.0]",23000,[731822.0],[851074.0],8.190015514060662e-07,8e-08,1e-09,demo_295259144,0,844.6339461803436
534539848,119337664,1915.0,0.0942648,0.5,0.05,0.002841308517747185,"[171374.0, 233130.0]",23000,[611735.0],[748092.0],8.666376515014411e-07,8e-08,1e-09,demo_295259144,0,870.6046998500824
534539848,119337664,1323.0,0.0942648,0.5,0.05,0.004171418563904131,"[169961.0, 196062.0]",23000,[669236.0],[1027727.0],9.473212270065241e-07,8e-08,1e-09,demo_295259144,0,866.0007016658783
534539848,119337664,1880.0,0.0942648,0.5,0.05,0.0023251209897758762,"[295616.0, 227749.0]",23000,[576994.0],[1023438.0],9.398871263439728e-07,8e-08,1e-09,demo_295259144,0,892.0951461791992
534539848,119337664,1533.0,0.0942648,0.5,0.05,0.0029867574530714506,"[232010.0, 248803.0]",23000,[587003.0],[1109496.0],8.361130826237375e-07,8e-08,1e-09,demo_295259144,0,902.995646238327
534539848,119337664,1865.0,0.0942648,0.5,0.05,0.0043185792917327095,"[192986.0, 299415.0]",23000,[578785.0],[969090.0],8.339611348307867e-07,8e-08,1e-09,demo_295259144,0,923.2771687507629
534539848,119337664,1877.0,0.0942648,0.5,0.05,0.004853622679992809,"[232398.0, 280225.0]",23000,[489266.0],[1063817.0],9.428497482748098e-07,8e-08,1e-09,demo_295259144,0,936.7179615497589
534539848,119337664,1723.0,0.0942648,0.5,0.05,0.004556556702548877,"[247936.0, 201876.0]",23000,[615839.0],[1175256.0],8.352239281905026e-07,8e-08,1e-09,demo_295259144,0,987.8410668373108
131197114,969440688,601.0,0.0942648,0.5,0.05,0.0013140577714739607,"[209329.0, 260835.0]",23000,[504560.0],[700453.0],8.191060033491862e-07,8e-08,1e-09,demo_864134417,0,1089.9202978610992
351090128,347915632,1117.0,0.0942648,0.5,0.05,0.0033142872076833813,"[212714.0, 153474.0]",23000,[521740.0],[1075354.0],8.173414070044847e-07,8e-08,1e-09,demo_346463656,0,1182.0191912651062
203902692,685677748,1205.0,0.0942648,0.5,0.05,0.0027740692550077954,"[178417.0, 166479.0]",23000,[793865.0],[917419.0],8.600153028482768e-07,8e-08,1e-09,demo_735040,0,1144.0809352397919
695965050,185692244,1387.0,0.0942648,0.5,0.05,0.002759562695376628,"[158888.0, 172315.0]",23000,[429841.0],[961024.0],8.648596865510954e-07,8e-08,1e-09,demo_108218174,0,1215.9300665855408
190924100,1052724470,1392.0,0.0942648,0.5,0.05,0.004250843774566867,"[212993.0, 153911.0]",23000,[785238.0],[879688.0],7.341946168551084e-07,8e-08,1e-09,demo_152907787,0,1233.3373537063599
940095086,668839796,1757.0,0.0942648,0.5,0.05,0.001271449714346579,"[169435.0, 214844.0]",23000,[546090.0],[1165955.0],9.795971483145378e-07,8e-08,1e-09,demo_153466873,0,1211.8516497612
522151114,210656120,665.0,0.0942648,0.5,0.05,0.0008637830536638826,"[287653.0, 281910.0]",23000,[520637.0],[864368.0],8.491090145261903e-07,8e-08,1e-09,demo_938311018,0,1097.4025263786316
438378388,150971410,1154.0,0.0942648,0.5,0.05,0.004599197512997467,"[207025.0, 150177.0]",23000,[680538.0],[782937.0],8.180639669578944e-07,8e-08,1e-09,demo_435858406,0,1200.2778766155243
389806094,577397319,993.0,0.0942648,0.5,0.05,0.0007201610768596306,"[284216.0, 244271.0]",23000,[527369.0],[720165.0],8.252742669619568e-07,8e-08,1e-09,demo_1056534654,0,1288.0809597969055
47811465,1024276075,1352.0,0.0942648,0.5,0.05,0.0019504243044836773,"[266378.0, 150616.0]",23000,[697996.0],[1016933.0],9.357113408900934e-07,8e-08,1e-09,demo_323214583,0,1397.2822513580322
242643101,835762649,1282.0,0.0942648,0.5,0.05,0.001577699917045692,"[196005.0, 231802.0]",23000,[495003.0],[1059510.0],8.262878911850788e-07,8e-08,1e-09,demo_509776800,0,1239.671153306961
465378662,375924065,1237.0,0.0942648,0.5,0.05,0.004276447183099681,"[150704.0, 299618.0]",23000,[568898.0],[1068905.0],9.9143677411287e-07,8e-08,1e-09,demo_391249481,0,1374.2030761241913
45183169,311825464,951.0,0.0942648,0.5,0.05,0.00457916063187758,"[187447.0, 199873.0]",23000,[752929.0],[1058611.0],9.998513095398705e-07,8e-08,1e-09,demo_6811046,0,1302.8999168872833
826614027,997242348,1177.0,0.0942648,0.5,0.05,0.003615432977025746,"[177191.0, 195093.0]",23000,[465935.0],[1098031.0],9.20297200236075e-07,8e-08,1e-09,demo_193780814,0,1306.389651298523
536177779,352964738,1266.0,0.0942648,0.5,0.05,0.00351312052095411,"[205631.0, 194941.0]",23000,[564327.0],[772164.0],8.418324943018847e-07,8e-08,1e-09,demo_411774468,0,1522.826374053955
861323770,183845975,1620.0,0.0942648,0.5,0.05,0.0022306244230558196,"[156591.0, 264325.0]",23000,[755965.0],[908417.0],9.375417344553688e-07,8e-08,1e-09,demo_790400822,0,1081.781404018402
997177032,312812801,976.0,0.0942648,0.5,0.05,0.0015652977981371618,"[249731.0, 195941.0]",23000,[700453.0],[849603.0],9.839417668953101e-07,8e-08,1e-09,demo_816164752,0,1157.307562828064
463452953,457745769,1678.0,0.0942648,0.5,0.05,0.0015623610955855173,"[238338.0, 155784.0]",23000,[711659.0],[1044177.0],7.612049033867407e-07,8e-08,1e-09,demo_567082004,0,1129.608372926712
910864961,716989301,727.0,0.0942648,0.5,0.05,0.0038886878177463863,"[199315.0, 228098.0]",23000,[601385.0],[1073862.0],9.022807999895014e-07,8e-08,1e-09,demo_1043726691,0,1073.9938561916351
308154045,450155442,792.0,0.0942648,0.5,0.05,0.0019765848835700487,"[195906.0, 257651.0]",23000,[614578.0],[831063.0],8.498064286732035e-07,8e-08,1e-09,demo_320267752,0,892.9161915779114
71138016,828534228,1161.0,0.0942648,0.5,0.05,0.00088689519866569,"[200415.0, 213939.0]",23000,[696777.0],[819195.0],8.74175307428713e-07,8e-08,1e-09,demo_300401056,0,1438.5558116436005
231350288,638733802,819.0,0.0942648,0.5,0.05,0.0033409540241382766,"[178918.0, 277739.0]",23000,[754816.0],[964119.0],9.252540648591153e-07,8e-08,1e-09,demo_844271720,0,1469.598447561264
27344773,968348960,1236.0,0.0942648,0.5,0.05,0.00470821558688453,"[243336.0, 218529.0]",23000,[751962.0],[1115394.0],7.137659557622044e-07,8e-08,1e-09,demo_14044132,0,1351.9339940547943
992023516,584275246,1018.0,0.0942648,0.5,0.05,0.0048094717518801875,"[246149.0, 203885.0]",23000,[504030.0],[1034011.0],8.596163708577674e-07,8e-08,1e-09,demo_101194790,0,1076.6034984588623
391919579,886627915,1364.0,0.0942648,0.5,0.05,0.004463384696895688,"[281316.0, 168562.0]",23000,[728059.0],[722579.0],9.036575963987066e-07,8e-08,1e-09,demo_357880556,0,1349.8377375602722
515230791,861869104,623.0,0.0942648,0.5,0.05,0.0021997702969042132,"[151330.0, 263653.0]",23000,[437337.0],[874536.0],7.317425415235381e-07,8e-08,1e-09,demo_139240487,0,1204.7864360809326
537881947,387041882,1247.0,0.0942648,0.5,0.05,0.003981813880979904,"[288340.0, 223808.0]",23000,[685840.0],[1079907.0],8.706710113219606e-07,8e-08,1e-09,demo_489515841,0,1306.7800414562225
612037758,830412179,1745.0,0.0942648,0.5,0.05,0.0017122328791930152,"[243916.0, 247358.0]",23000,[726796.0],[824093.0],7.573235774877402e-07,8e-08,1e-09,demo_272358545,0,1308.0381875038147
22265429,567869387,830.0,0.0942648,0.5,0.05,0.0022700830532114973,"[279945.0, 292242.0]",23000,[597680.0],[1194890.0],7.318958236217997e-07,8e-08,1e-09,demo_500979535,0,1230.5058298110962
733781383,680211740,1824.0,0.0942648,0.5,0.05,0.0016813561649355994,"[284499.0, 290484.0]",23000,[791608.0],[1008870.0],7.19910479987337e-07,8e-08,1e-09,demo_753911717,0,1399.7877876758575
552095605,401981438,1146.0,0.0942648,0.5,0.05,0.002187373367039597,"[237114.0, 197580.0]",23000,[629503.0],[954242.0],8.877604427142733e-07,8e-08,1e-09,demo_641087356,0,610.2366206645966
962098644,153678455,1154.0,0.0942648,0.5,0.05,0.0049564256754371355,"[271759.0, 197848.0]",23000,[642725.0],[1028969.0],7.570649042339697e-07,8e-08,1e-09,demo_799697217,0,808.438645362854
842058305,2502915,769.0,0.0942648,0.5,0.05,0.0033017894750208103,"[220279.0, 161004.0]",23000,[494769.0],[968328.0],9.50117551002475e-07,8e-08,1e-09,demo_941179909,0,809.2266654968262
85075499,840896643,1394.0,0.0942648,0.5,0.05,0.002582248095119933,"[228861.0, 296913.0]",23000,[737569.0],[780805.0],9.758243220536949e-07,8e-08,1e-09,demo_767275957,0,1466.569324016571
578815398,359710992,686.0,0.0942648,0.5,0.05,0.0026083841010214144,"[253736.0, 177070.0]",23000,[620844.0],[1124903.0],7.008561101358222e-07,8e-08,1e-09,demo_895775723,0,1479.1301279067993
947045391,1063491480,1687.0,0.0942648,0.5,0.05,0.003507209701077788,"[176335.0, 156649.0]",23000,[557072.0],[1004042.0],8.959044263656029e-07,8e-08,1e-09,demo_1046629052,0,922.8197932243347
780801564,408947243,1333.0,0.0942648,0.5,0.05,0.000993890449085555,"[165549.0, 211940.0]",23000,[734232.0],[817027.0],8.468853827072355e-07,8e-08,1e-09,demo_757281193,0,1478.9639542102814
1014219829,803228453,1943.0,0.0942648,0.5,0.05,0.00458952188638402,"[263709.0, 199608.0]",23000,[639649.0],[1097947.0],9.632562011348252e-07,8e-08,1e-09,demo_570269884,0,1619.9573378562927
432671175,506969898,875.0,0.0942648,0.5,0.05,0.003545578470249205,"[283190.0, 277582.0]",23000,[484487.0],[997478.0],9.17845903455833e-07,8e-08,1e-09,demo_471357390,0,1641.6481068134308
