collection_num,longitude,latitude,date_collected,id,species,state,locality,source,jar_num,county,connor_notes,lab,alt_m,notes
MVZ:Herp:233414,-48.6333,-25.8833,1996-06-04T00:00:00Z,1145545021,distincta,Parana,Municipality of Guaratuba,gbif,NA,NA,NA,NA,NA,NA
69624601,-48.716829,-27.169879,2021-02-14T11:18:51Z,3044567206,distincta,Santa Catarina,"Tijucas - SC, 88200-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
40829290,-47.983204,-24.116604,2012-01-07T23:32:00Z,2596355434,distincta,São Paulo,"Rodovia SP-139, km 78 - Abaitinga, Sete Barras - SP, 18230-000, Brazil",gbif,NA,NA,NA,NA,NA,NA
106082811,-47.014321,-24.369859,2022-01-27T15:57:00Z,3772589489,distincta,São Paulo,"Guaraú - Q.ta do Guarau, Peruíbe - SP, 11750-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
35132653,-49.581356,-28.559573,2019-10-16T21:17:56Z,2448001684,distincta,Santa Catarina,"São Pedro, Siderópolis",gbif,NA,NA,NA,NA,NA,NA
108829310,-49.048409,-26.928977,2007-11-11T06:20:00Z,3743024208,distincta,Santa Catarina,"Ribeirão Fresco, Blumenau - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
114309358,-47.014321,-24.369844,2022-01-28T00:00:00Z,3772406054,distincta,São Paulo,"Guaraú - Q.ta do Guarau, Peruíbe - SP, 11750-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
36826122,-49.564636,-26.949082,2018-09-29T00:00:00Z,2540841809,distincta,Santa Catarina,"Ibirama - SC, 89140-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
21187745,-49.142686,-26.864428,2019-03-01T20:40:32Z,2540725825,distincta,Santa Catarina,"Rua João Nuss, 301, Blumenau, SC, BR",gbif,NA,NA,NA,NA,NA,NA
108829312,-49.048409,-26.928977,2007-11-01T21:20:00Z,3743282383,distincta,Santa Catarina,"Ribeirão Fresco, Blumenau - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
18826114,-49.470467,-28.643386,2017-09-07T21:58:00Z,1948774091,distincta,Santa Catarina,"Rod. Centenária, Nova Veneza - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
67275474,-48.597113,-24.60081,2012-12-20T22:57:54Z,3070425353,distincta,São Paulo,"Iporanga - SP, 18330-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
67360612,-49.048451,-26.929236,2013-11-05T12:00:00Z,3013872252,distincta,Santa Catarina,"Ribeirão Fresco, Blumenau - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
108829316,-49.048409,-26.928977,2008-01-02T05:01:00Z,3743253428,distincta,Santa Catarina,"Ribeirão Fresco, Blumenau - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
67967526,-51.900395,-27.14755,2020-12-27T22:05:00Z,3031915665,distincta,Santa Catarina,"Concórdia - SC, 89700-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
66832525,-49.179818,-26.965836,2020-12-19T22:59:00Z,3008528800,distincta,Santa Catarina,"Indaial - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
77477862,-48.542197,-24.790987,2021-02-17T21:21:35Z,3112967641,distincta,Paraná,"Adrianópolis, PR, BR",gbif,NA,NA,NA,NA,NA,NA
141088987,-48.51704,-27.767568,2022-10-12T02:36:23Z,3963248930,distincta,Santa Catarina,"Ilha de Santa Catarina, Florianópolis, SC, BR",gbif,NA,NA,NA,NA,NA,NA
66004194,-48.27359,-24.308775,2014-12-02T12:34:00Z,2992732047,distincta,São Paulo,"Estrada Municipal, km 25 s/n Zona Rural, Ribeirão Grande - SP, 18315-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
37416002,-50.174117,-29.480988,2019-12-12T21:17:55Z,2550035949,distincta,Rio Grande do Sul,"Sao Francisco Da Paula, RS, BR",gbif,NA,NA,NA,NA,NA,NA
66981578,-49.142654,-26.864401,2020-12-23T21:31:00Z,3008533088,distincta,Santa Catarina,"Testo Salto, Blumenau - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
103613947,-49.18803,-26.923738,2021-12-21T22:01:06Z,3457101136,distincta,Santa Catarina,"Rua Reinholdo Schroeder, Indaial, SC, BR",gbif,NA,NA,NA,NA,NA,NA
63831401,-51.900241,-27.147294,2017-11-06T19:57:00Z,2981086668,distincta,Santa Catarina,"Concórdia - SC, 89700-000, Brasil",gbif,NA,NA,NA,NA,NA,NA
21918075,-49.015442,-25.385035,2011-09-23T18:06:00Z,2984478322,distincta,Paraná,Reserva Jaguarapira,gbif,NA,NA,NA,NA,NA,NA
46648251,-47.562287,-24.004652,2019-10-17T21:07:00Z,2626498886,distincta,São Paulo,"Rodovia SP 79, Km 164,5, s/n - Zona Rural, Tapiraí - SP, 18180-000, Brazil",gbif,NA,NA,NA,NA,NA,NA
21927528,-49.015442,-25.385035,2011-09-23T18:05:00Z,2235539623,distincta,Paraná,Reserva Jaguarapira,gbif,NA,NA,NA,NA,NA,NA
66825693,-49.178043,-26.965655,2020-12-20T00:06:00Z,3008511803,distincta,Santa Catarina,IPEVI,gbif,NA,NA,NA,NA,NA,NA
106557046,-49.523296,-28.491224,2021-11-05T20:23:00Z,3499476761,distincta,Santa Catarina,"Treviso - SC, Brasil",gbif,NA,NA,NA,NA,NA,NA
