species,longitude,latitude,individual_id,anc_pop_id
distincta,-48.6333,-25.8833,1145545021,1
distincta,-48.716829,-27.169879,3044567206,2
distincta,-47.983204,-24.116604,2596355434,1
distincta,-47.014321,-24.369859,3772589489,1
distincta,-49.581356,-28.559573,2448001684,2
distincta,-49.048409,-26.928977,3743024208,2
distincta,-47.014321,-24.369844,3772406054,1
distincta,-49.564636,-26.949082,2540841809,2
distincta,-49.142686,-26.864428,2540725825,2
distincta,-49.048409,-26.928977,3743282383,2
distincta,-49.470467,-28.643386,1948774091,2
distincta,-48.597113,-24.60081,3070425353,1
distincta,-49.048451,-26.929236,3013872252,2
distincta,-49.048409,-26.928977,3743253428,2
distincta,-51.900395,-27.14755,3031915665,2
distincta,-49.179818,-26.965836,3008528800,2
distincta,-48.542197,-24.790987,3112967641,1
distincta,-48.51704,-27.767568,3963248930,2
distincta,-48.27359,-24.308775,2992732047,1
distincta,-50.174117,-29.480988,2550035949,2
distincta,-49.142654,-26.864401,3008533088,2
distincta,-49.18803,-26.923738,3457101136,2
distincta,-51.900241,-27.147294,2981086668,2
distincta,-49.015442,-25.385035,2984478322,1
distincta,-47.562287,-24.004652,2626498886,1
distincta,-49.015442,-25.385035,2235539623,1
distincta,-49.178043,-26.965655,3008511803,2
distincta,-49.523296,-28.491224,3499476761,2
distincta,-51.896543,-27.148453,3031915319,2
distincta,-47.24443333,-23.95806667,dis_1,1
distincta,-47.24443333,-23.95806667,dis_2,1
distincta,-49.03157,-24.64048,dis_3,1
distincta,-50.03157,-24.64048,dis_4,1
distincta,-51.03157,-24.64048,dis_5,1
distincta,-49.06635,-24.67925,dis_6,1
distincta,-49.06635,-24.67925,dis_7,1
distincta,-49.06635,-24.67925,dis_8,1
distincta,-46.92180556,-24.23455556,dis_9,1
distincta,-46.93025,-24.24638889,dis_10,1
distincta,-47.67852778,-24.32802778,dis_11,1
distincta,-47.67852778,-24.32802778,dis_12,1
distincta,-47.67852778,-24.32802778,dis_13,1
distincta,-47.67852778,-24.32802778,dis_14,1
distincta,-47.67852778,-24.32802778,dis_15,1
distincta,-47.68830556,-24.33530556,dis_16,1
distincta,-47.68830556,-24.33530556,dis_17,1
distincta,-47.68830556,-24.33530556,dis_18,1
distincta,-48.74022222,-24.35916667,dis_19,1
distincta,-48.08044444,-24.53372222,dis_20,1
distincta,-48.08044444,-24.53372222,dis_21,1
distincta,-48.08044444,-24.53372222,dis_22,1
distincta,-48.08044444,-24.53372222,dis_23,1
distincta,-48.08044444,-24.53372222,dis_24,1
distincta,-47.12053333,-24.39743333,dis_27,1
distincta,-49.04441667,-25.44222222,dis_28,1
distincta,-49.04441667,-25.44222222,dis_29,1
distincta,-48.88875,-25.98077778,dis_30,2
distincta,-48.88875,-25.98077778,dis_31,2
distincta,-48.88875,-25.98077778,dis_32,2
distincta,-48.88875,-25.98077778,dis_33,2
distincta,-48.88875,-25.98077778,dis_34,2
distincta,-48.88875,-25.98077778,dis_35,2
distincta,-48.88875,-25.98077778,dis_36,2
distincta,-48.88875,-25.98077778,dis_37,2
distincta,-49.00327,-26.50997,dis_38,2
distincta,-49.25941,-26.80752,dis_39,2
distincta,-49.25941,-26.80752,dis_40,2
distincta,-49.25941,-26.80752,dis_41,2
distincta,-49.25941,-26.80752,dis_42,2
distincta,-49.25941,-26.80752,dis_43,2
distincta,-49.09114,-27.02897,dis_45,2
distincta,-49.09114,-27.02897,dis_46,2
distincta,-49.09114,-27.02897,dis_47,2
distincta,-48.54841667,-27.16025,dis_48,2
distincta,-48.54841667,-27.16025,dis_49,2
distincta,-48.50696667,-27.45851667,dis_50,2
distincta,-48.50696667,-27.45851667,dis_51,2
distincta,-48.50696667,-27.45851667,dis_52,2
